"ID","Requirement Nr","Description","Good Practice","Is Fullfilled By","Remarks"
"GP-TM-57","Conduct periodic audits and reviews of security controls to ensure that the controls are effective. Perform penetration tests at least biannually.","Monitoring and Auditing","...","..."
"GP-TM-56","Implement regular monitoring to verify the device behaviour, to detect malware and to discover integrity errors.","Monitoring and Auditing","...","..."
"GP-TM-55","Implement a logging system that records events relating to user authentication, management of accounts and access rights, modifications to security rules, and the functioning of the system.","Logging","...","..."
"GP-TM-54","Data input validation (ensuring that data is safe prior to use) and output filtering.","Secure input and output handling","...","..."
"GP-TM-53","Avoid security issues when designing error messages.","Secure Interfaces and network services","...","..."
"GP-TM-52","Ensure web interfaces fully encrypt the user session, from the device to the backend services, and that they are not susceptible to XSS, CSRF, SQL injection, etc.","Secure Interfaces and network services","...","..."
"GP-TM-51","Implement a DDoS-resistant and Load-Balancing infrastructure.","Secure Interfaces and network services","...","..."
"GP-TM-50","Ensure only necessary ports are exposed and available.","Secure Interfaces and network services","...","..."
"GP-TM-49","Avoid provisioning the same secret key in an entire product family, since compromising a single device would be enough to expose the rest of the product family.","Secure and trusted communications","...","..."
"GP-TM-48","Protocols should be designed to ensure that, if a single device is compromised, it does not affect the whole set.","Secure and trusted communications","...","..."
"GP-TM-47","Risk Segmentation. Splitting network elements into separate components to help isolate security breaches and minimise the overall risk.","Secure and trusted communications","...","..."
"GP-TM-46","Rate limiting – controlling the traffic sent or received by a network to reduce the risk of automated attacks.","Secure and trusted communications","...","..."
"GP-TM-45","Disable specific ports and/or network connections for selective connectivity.","Secure and trusted communications","...","..."
"GP-TM-44","Make intentional connections. Prevent unauthorised connections to it or other devices the product is connected to, at all levels of the protocols.","Secure and trusted communications","...","..."
"GP-TM-43","IoT devices should be restrictive rather than permissive in communicating.","Secure and trusted communications","...","..."
"GP-TM-42","Do not trust data received and always verify any interconnections. Discover, identify and verify/authenticate the devices connected to the network before trust can be established, and preserve their integrity for reliable solutions and services.","Secure and trusted communications","...","..."
"GP-TM-41","Guarantee data authenticity to enable reliable exchanges from data emission to data reception. Data should always be signed whenever and wherever it is captured and stored.","Secure and trusted communications","...","..."
"GP-TM-40","Ensure credentials are not exposed in internal or external network traffic.","Secure and trusted communications","...","..."
"GP-TM-39","Ensure that communication security is provided using state-of-the-art, standardised security protocols, such as TLS for encryption.","Secure and trusted communications","...","..."
